Title;Note;Description;Éditeur;Date de publication;Nombre de pages
/Blush-DC - Himitsu Vol. 8;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 530 ¥
/Blush-DC - Himitsu Vol. 9;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 748 ¥
/Blush-DC - Himitsu Vol. 10;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 748 ¥
& Vol. 1;8.4/10;"Une employée administrative dans un hôpital décide d'accomplir son rêve et de démarrer une activité professionnelle parallèle. Elle veut ouvrir un salon de manucure qui n'ouvre que le soir, pour les femmes actives qui veulent rester coquettes.  Mais se lancer comme indépendante n'est pas une mince affaire, surtout quand les autres, et surtout les hommes, tentent de vous décourager jugeant l'entreprise trop compliquée pour ""une petite femme inexpérimentée"". Pourtant, elle va s'accrocher et, petit à petit, trouver sa place dans ce monde fort différent de l'univers des employés de bureau.";; Kana (Life); 08/11/2010
& Vol. 2;9.43/10;C'est décidé, je me lance !  À côté de son travail de secrétaire médicale, Kaoru a décidé d'ouvrir son propre salon de manucure. Elle, qui déteste pourtant être touchée par des inconnus et surtout par des hommes, sent un désir totalement nouveau naître en elle : sentir le contact du docteur Yagai travaillant dans le même hôpital qu'elle. Kaoru est attirée par cet homme plus âgé et cela semble être réciproque. Malheureusement, le passé et les doutes du médecin entravent une potentielle relation... D'un autre côté, Shiro, un ancien aîné de l'université de Kaoru, ne sait pas comment lui montrer son amour mais compte bien ne pas la laisser filer...;; Kana (Life); 09/05/2011
& Vol. 3;9.33/10;À côté de son travail de secrétaire médical, Kaoru a décidé d'ouvrir son propre salon de manucure. À l'hôpital, la distance entre elle et le docteur Yagai ne semble pas diminuer et leur relation est au point mort. Shiro, toujours éperdument amoureux de Kaoru, profite de cette occasion pour inviter la jeune femme à un rendez-vous. Incapable de faire face au docteur Yagai, Kaoru accepte la proposition, histoire de se changer les idées...;; Kana (Life); 07/01/2012
& Vol. 4;9/10;À côté de son travail de secrétaire médical, Kaoru a décidé d'ouvrir son propre salon de manucure. En 26 ans, la jeune femme n'est jamais tombée amoureuse. Alors aujourd'hui, son irrépressible attirance pour le docteur Yagai, de 19 ns son aîné, la rend plus que perplexe. Le quotidien semble les éloigner tous les deux, au point que cela en devienne frustrant pour Kaoru. Mais, à sa plus grande surprise, le docteur Yagai craque et lui avoue ses sentiments, et les deux collègues passent leur première nuit ensemble.;; Kana (Life); 08/06/2012
& Vol. 5;9.6/10;Pour la première fois de sa vie, Kaoru est amoureuse et ses sentiments sont réciproques. La jeune fille n'a plus qu'une seule idée en tête : être utile à l'élu de son cœur. Elle décide alors de se présenter à un poste d'assistante médicale, et se plonge dans de nouvelles études. Shiro, de son côté, est agacé de voir celle qu'il aime en secret vivre son idylle... Si bien qu'un soir, il s'emporte contre Kaoru et la menace de ne plus lui louer le rez-de-chaussée de son entreprise...;; Kana (Life); 08/01/2013
& Vol. 6;9.33/10;Kaoru suit des cours supplémentaires pour intégrer le nouveau département de l'hôpital. De son côté, le docteur Yagai est toujours tourmenté par son passé et sa grande différence d'âge avec Kaoru l'empêche de se rapprocher d'elle autant qu'il le voudrait. Au fil du temps, heureusement, les sentiments de la jeune femme vont lui réchauffer le cœur et l'aider à s'ouvrir à elle. Mais, un jour, une nouvelle cliente débarque au salon de Kaoru. Cette femme, qui semble également connaître le docteur Yagai, ne manquera pas de la mettre mal à l'aise avec ses réflexions...;; Kana (Life); 07/06/2013
& Vol. 7;9.25/10;C'est décidé, je me lance !  Assistante médicale le jour et esthéticienne dans son propre salon de manucure le soir, Kaoru a commencé une relation amoureuse avec le docteur Yagai, un homme de 19 ans son aîné. Entre les trop nombreuses gardes de ce dernier et les journées bien chargées de la jeune femme, ces deux-là manquent cruellement de temps pour se voir. Leur rendez-vous se font de plus en plus rares, quand ils ne sont pas interrompus par un appel imprévu. Kaoru accepte toujours la situation avec le sourire même si, au fond d'elle, elle sent un certain malaise l'envahir. Alors qu'elle profite d'une journée avec son ami Shiro et ses collègues, celui-ci finit par craquer et avoue ses sentiments à Kaoru... devant sa petite amie ?!;; Kana (Life); 07/12/2013
& Vol. 8;9.33/10;Maintenant qu'elle possède un double des clés, Kaoru décide d'attendre le docteur Yagai chez lui... mais, contre toute attente, ce n'est pas lui qui apparaît quand la porte s'ouvre. Celle qui entre dans l'appartement n'est autre que Shimizu, une cliente du salon de Kaoru, qui n'est pas là par hasard...;; Kana (Life); 08/04/2014
# Teal Blue no Hairo Vol. 1;-/10;Alice Otsuka mène une vie faite d'allers-retours entre l'école et le bachotage pour se préparer à l'avenir, tout en se sentant mal à l'aise dans sa vie de lycéenne pleine d'énergie. Cependant, ses notes finissent toujours en deuxième position. Un jour, Alice est témoin d'un secret entre l'énigmatique Kaneto et un beau garçon mystérieux nommé Rei. Dès lors, le quotidien d'Alice se transforme en un monde mystérieux qui se dévoile petit à petit !;; LINE Corporation; 682 ¥
# Teal Blue no Hairo Vol. 2;-/10;N/C;; LINE Corporation; 682 ¥
# Teal Blue no Hairo Vol. 3;-/10;N/C;; LINE Corporation; 682 ¥
#000000 Ultra Black Vol. 1;-/10;Une personne mystérieuse qui a aidé le vrai tigre élevée dans l'établissement deviendra un parent d'accueil. Qu'adviendra-t-il de la nouvelle vie du vrai tigre !? Un mystérieuse histoire de travail !!;; Ichijinsha; 607 ¥
#000000 Ultra Black Vol. 2;-/10;Accompagné d'une fille, Nei, membre de l'entreprise, Mitsutora décide de résoudre l'affaire ensemble et utilise la carte obtenue du magasin d'informations comme indice pour se rendre sur les lieux de l'affaire. Cependant, des ennuis inattendus les attendaient sur les lieux... !!;; Ichijinsha; 607 ¥
#000000 Ultra Black Vol. 3;-/10;Killy s'installe dans le vieux carnet d'un vrai tigre. Kirie, une créature non identifiée à l'apparence mystérieuse, est le parent adoptif d'un vrai tigre, Ding. Cependant, le vrai tigre n'est pas au courant de ce fait. La relation entre les deux les plus proches et les plus éloignés...;; Ichijinsha; 607 ¥
#000000 Ultra Black Vol. 4;-/10;Un bénéficiaire qui peut créer des personnes talentueuses en se contractant. Comme le vrai tigre, la sœur cadette de Yuhiko, Tamaki, avait cette capacité. Enfin, le vrai tigre convoque aussi son entrepreneur, Killy... !;; Ichijinsha; 607 ¥
#000000 Ultra Black Vol. 5;-/10;Dans ce lieu mémorable, un vrai tigre qui se souvient des faits qui lui sont arrivés révèle l'étonnante vérité sur son précieux Killy... !;; Ichijinsha; 607 ¥
#000000 Ultra Black Vol. 6;-/10;Un lieu et un hypocentre qui sont constitués des souvenirs des gens. Par conséquent, le bénéficiaire, le vrai tigre, et l'entrepreneur, Shido, fusionnent et deviennent un seul être humain. Cela signifiait la mort physique du Shido et la mort spirituelle du vrai tigre. Cependant, le vrai tigre se réveille à nouveau dans le monde où vivent son père et la mère de Shido. Dans le corps de Shido...;; Ichijinsha; 607 ¥
#000000 Ultra Black Vol. 7;-/10;"Ning et ses amis ont mis le pied sur l'hypocentre à la suite des allées et venues de Sima. Ning et ses amis, qui ne sont pas ""capables"" au sens propre du terme, risquent de disparaître en un instant lorsqu'ils entreront dans l'hypocentre, mais ils recherchent Shiba pour aider Ding et le vrai tigre. La distorsion du monde qui disparaît en raison de la disparition de Lisa. Qu'obtenez-vous et que perdez-vous dans un monde où la distorsion est corrigée ?";; Ichijinsha; 607 ¥
#140-ji no Romance Vol. 1;-/10;#140-ji no Romance est un recueil de plusieurs petites histoires courtes ayant toutes la romance comme thème principal.; Shodensha; 08/04/2017; 192
#Alphabet Chichi no, Omotetoura. Vol. 1;-/10;#Alphabet Chichi no, Omotetoura. est un recueil contenant à la fois diverses illustrations ainsi que des extraits de vie dessinés en manga.; Ohta Shuppan; 18/10/2018; 192
#B ga L suru 4 Page Anthology - Sono Toki Boku wa, Koi wo Shita! Vol. 1;-/10;#B ga L suru 4 Page Anthology - Sono Toki Boku wa, Koi wo Shita! est un recueil de nouvelles BL légères de 4 pages chacune sur le moment où un garçon tombe amoureux d'un autre garçon.; Libre Shuppan; 20/07/2020; 186
#Cooking Karine Vol. 1;9/10;Karine, jeune collégienne passionnée par la cuisine, se lance dans un concours en ligne sur le site de vidéos «NEW !» afin de réaliser son rêve de toujours, ouvrir son propre restaurant. Avec l'aide de Shingo Tenma, le soi-disant bad boy de son collège, elle parvient petit à petit à grimper les échelons des Newtubeurs. Sans jamais baisser les bras, elle poursuit son objectif tout en faisant de son mieux pour apporter un peu de bonheur à ceux qu'elle croise sur son chemin grâce à ses délicieuses recettes !;; nobi nobi! (Shôjo Kids); 11/01/2019
#Cooking Karine Vol. 2;9.5/10;A seulement 13 ans, Karine a bien l'intention de remporter le tournoi de cuisine sur la plateforme de vidéos «NEW !». Elle parvient contre toute attente à se qualifier et découvre son adversaire, la populaire idole virtuelle Yume Irojiki. Malheureusement, toutes ses vidéos disparaissent soudainement ! Karine doit alors faire face à l'incompréhension de sa mère qui veut protéger sa fille de ce monde inconnu et cruel. Pour elle, la jeune fille est prête à tout abandonner... Mais son ami Shin, lui, ne l'entend pas de cette oreille !;; nobi nobi! (Shôjo Kids); 12/04/2019
#Cooking Karine Vol. 3;9.67/10;La finale du tournoi approche à grands pas. Avec Shin à ses côtés, Karine est sûre de pouvoir réaliser son rêve et se donne à fond pour remporter la manche suivante du tournoi ! Et même en apprenant qu'il n'est autre que le fils du grand chef Jean Frockenberg, sa confiance ne vacille pas ! Mais comment va-t-elle s'en sortir, lorsque celui-ci disparaît soudainement sans même la prévenir ?;; nobi nobi! (Shôjo Kids); 12/07/2019
#DRCL midnight children Vol. 1;10/10;N/C;; Shueisha; 990 ¥
#DRCL midnight children Vol. 2;-/10;N/C;; Shueisha; 990 ¥
#Kojirase Shojo no Hatsu Kareshi Vol. 1;-/10;Cette œuvre autobiographique met en scène les différentes épreuves qu'a dû affronter la mangaka avant de conclure à la perte de sa virginité : la mort de son père bien-aimé, la rencontre avec son premier amour, ses premières expériences autant professionnelles qu'amoureuses...; Kobunsha; 19/07/2017; 128
※Kiss wa 20-sai ni natte kara Vol. 1;-/10;Je viens de déménager à Tokyo pour commencer ma nouvelle vie étincelante à l'université. C'est dans cette nouvelle vie inconnue pour moi que je tombe sans le vouloir sur un agent de grande entreprise nommé Shimazaki qui pourrait bien changer ma vie à tout jamais!;; Shogakukan; 484 ¥
※Kiss wa 20-sai ni natte kara Vol. 2;-/10;N/C;; Shogakukan; 484 ¥
※Kiss wa 20-sai ni natte kara Vol. 3;-/10;N/C;; Shogakukan; 484 ¥
※Kiss wa 20-sai ni natte kara Vol. 4;-/10;N/C;; Shogakukan; 484 ¥
°C Rikei Vol. 1;-/10;Le club de physique du lycée Kurakawa ne compte plus que trois filles. Elles ont donc besoin de recruter de nouveaux membres parmi les nouveaux élèves. Mais lorsqu'il s'agit de faire une démonstration des activités de leur club, personne ne sait vraiment ce qui pourrait attirer les gens. La présidente du club, Tonoe, décide de faire une démonstration de soudure, ce qui semble être un échec spectaculaire. Cependant, ils vont tout de même accueillir deux nouveaux membres dans leur club !;; Shueisha; 172
°C Rikei Vol. 2;-/10;N/C;; Shueisha; 164
°C Rikei Vol. 3;-/10;N/C;; Shueisha; 172
°C Rikei Vol. 4;-/10;N/C;; Shueisha; 180
°C Rikei Vol. 5;-/10;N/C;; Shueisha; 180
°C Rikei Vol. 6;-/10;N/C;; Shueisha; 180
°C Rikei Vol. 7;-/10;N/C;; Shueisha; 186
+Anima Vol. 1;7.96/10;C'est l'heure du voyage et des rencontres pour Cooro, le +Anima du corbeau ! Parti en quêtes d'autres personnes présentant les mêmes particularités que lui, il va faire la connaissance de compagnons de voyage surprenant et valeureux. Un poisson, un ours, une chauve-souris, tels seront les animaux qui accompagneront le corbeau dans sa découverte du monde, à la recherche de nouveaux amis, mais aussi de tolérance.;; Taifu Comics (Young); 10/12/2000
+Anima Vol. 2;8/10;Le voyage continue pour Cooro et ses compagnons, en quête d'autres +Anima. Leurs pas les mèneront dans un village d'apiculteurs, où ils apprendront à faire la différence entre un +Anima et un insecte mutant ! Traités avec méfiance, si ce n'est défiance, par les humains qu'ils croisent, leur humanité sera mise en question...  Avec, en prime, trois aventures courtes, des préquelles de l'auteur mettant en scène nos héros tels qu'ils auraient pu être. Trois aventures tout aussi palpitantes que le quotidien régulier des +Anima !;; Taifu Comics (Young); 10/05/2001
+Anima Vol. 3;8.3/10;Cooro est ses compagnons continuent leur exploration du monde qui les entoure. Et multiplient les rencontres, toutes contribuant à les faire grandir. Ils croiseront ainsi un jeune homme cherchant à découvrir la voie des airs, referont face au spartiate et hostile militaire Igneous. Sans oublier un vieux forgeron sage et légendaire, par lequel ils découvriront certains secrets entourant les +Anima. Et tout cela se finira sur un questionnement quant au sexe des anges et dans la bonne humeur de sources thermales !;; Taifu Comics (Young); 10/11/2001
+Anima Vol. 4;8.15/10;Le voyage de Cooro et de ses amis se poursuit. Et ils font aujourd'hui halte à Maggie Vil, ville dont la principale attraction est un Coliseum, où se déroulent différentes sorte de combat. Cooro et Husky veulent de leur côté participer aux duels primés, tandis que Nana se lie d'amitié avec la jeune fille du maire, Magdala. Mais cette mystérieuse jeune demoiselle est-elle aussi généreuse qu'elle le semble ? Pour compliquer encore la situation, Rose tombe sur son jeune frère, prisonnier d'un groupe de chercheurs qui se servent de son mystérieux pouvoir ! Les +Anima réussiront-ils à se sortir de cette situation complexe ? Qu'en retireront-ils ? Seront-ils acceptés pour ce qu'ils sont ?;; Taifu Comics (Young); 25/05/2002
+Anima Vol. 5;8.4/10;L'hiver approche et la petite bande de +Anima se dirige à présent vers le sud. En chemin, ils croisent une jeune fille qui prétend être passionnée par les +Anima et désire à tout prix en connaître. Un peu méfiants, ils ne savent pas s'ils doivent lui faire confiance… à part Cooro, qui pense l'avoir déjà rencontrée quelque part. Puis leurs pas les mènent vers un champ de pommiers tenu par une gentille dame qui retrouve en Cooro les traits de son fils disparu. C'est l'occasion pour nos amis de réaliser qu'ils ne se sentent chez eux nulle part, et que leur destin est de parcourir le monde à la recherche des leurs.;; Taifu Comics (Young); 27/11/2002
+Anima Vol. 6;8.2/10;L'armée d'Astaria tente de convaincre les Kimu Un Kuru de passer une alliance avec eux afin de se protéger du pays voisin, Sailand, qui veut les envahir. Mais ce n'est pas une mince affaire que de convaincre ce peuple fier et indépendant. Pour Senri, les retrouvailles avec ses semblables se passent mal : il fait un malaise et perd la mémoire. Il retrouve néanmoins un membre de son ancien clan, qui semble quelque peu hostile à son égard. Le passé de Senri semble cacher de sombres secrets…;; Taifu Comics (Young); 10/05/2003
+Anima Vol. 7;8.2/10;Husky souhaite se rendre à Sailand, le pays voisin d'Astaria. Ses amis ignorent pourquoi, mais ça ne les empêche pas d'accepter de le suivre dans ce périlleux périple. Ils doivent tout d'abord traverser un passage secret à travers la montagne. A la sortie du tunnel, Husky révèle enfin la raison de sa venue à Sailand : il voudrait retrouver sa mère, qu'il n'a pas revue depuis qu'il est devenu +Anima. La tâche s'annonce ardue… Mais ils ne sont pas au bout de leurs peines : ils vont devoir échapper aux chasseurs de +Anima qui veulent les vendre sur le marché aux esclaves !;; Taifu Comics (Young); 27/11/2003
+Anima Vol. 8;8.35/10;Husky a été envoyé à Stella, la capitale de Sailand, pour être vendu comme esclave. Il est acheté par Lord Hershas, le peintre de la cour, et doit se dissimuler une nouvelle fois sous un déguisement féminin pour ne pas être reconnu. De leur côté, Cooro, Senri et Nana arrivent à Stella avec la ferme détermination d'aller sauver leur ami. Ils parviennent à le libérer de l'emprise de Lord Hershas, mais ils ne sont pas au bout de leurs surprises : Husky leur apprend que sa mère est en réalité une des épouses du roi de Sailand, et que s'ils veulent la retrouver, ils vont devoir s'introduire dans le palais royal !;; Taifu Comics (Young); 27/05/2004
+Anima Vol. 9;8.42/10;Après un voyage mouvementé à Sailand, la petite troupe est de retour à Astaria.  Alors qu'ils parcourent le nord du pays, ils font la rencontre d'un +Anima cygne, qui se fait passer pour un ange auprès des habitants de son village afin d'être accepté par eux. Là se pose tout le problème de la reconnaissance des +Anima par la société des humains. Dans ce volume, on en apprend également plus sur Fly, le chercheur de l'institut d'Astaria qui semble connaître Cooro.  Seul le passé de Cooro reste quelque peu nébuleux, ce qui intrigue ses trois amis…;; Taifu Comics (Young); 27/09/2004
